trip_id,date,driver_id,origin,dest,o_lat,o_lon,d_lat,d_lon,distance_km,load_ton,traffic_index,elevation_gain_m,avg_speed_kmh,duration_h,fuel_liters
T75,2025-01-02,D023,Chiclayo,Arequipa,-6.8226,-79.85676,-16.42397,-71.46605,1404.53,2.3,0.76,586,42.8,40.85,385.5
T76,2025-01-02,D015,Tacna,Arequipa,-17.87023,-70.26617,-16.43015,-71.56453,211.36,13.8,0.33,333,81.1,2.63,77.0
T77,2025-01-02,D026,Cusco,Tacna,-13.55541,-71.89373,-17.99641,-70.21218,525.56,21.7,0.46,723,38.5,13.42,204.7
T78,2025-01-02,D009,Puno,Trujillo,-15.82532,-70.01714,-8.1495,-78.99063,1295.94,17.3,0.48,21,54.4,26.78,383.4
T79,2025-01-02,D030,Arequipa,Puno,-16.45023,-71.46607,-15.83563,-70.04702,166.26,19.8,0.75,181,35.3,4.46,75.0
T80,2025-01-02,D017,Ica,Cusco,-14.15749,-75.84802,-13.43026,-71.92877,430.88,15.1,0.68,300,48.0,11.0,154.4
T81,2025-01-02,D007,Cusco,Ica,-13.54378,-71.9567,-14.08116,-75.66954,405.33,14.7,0.62,275,59.3,6.28,121.1
T82,2025-01-02,D023,Tacna,Lima,-17.94859,-70.26237,-12.07749,-77.11596,983.55,12.8,0.51,0,42.0,21.91,277.2
T83,2025-01-02,D032,Ica,Lima,-14.10104,-75.74638,-12.08648,-77.06845,265.86,7.7,0.72,554,54.9,5.1,98.8
T84,2025-01-02,D026,Cusco,Tacna,-13.56732,-71.94236,-18.03073,-70.21955,529.41,12.1,0.75,731,52.5,10.24,150.5
T85,2025-01-02,D034,Cusco,Chiclayo,-13.54113,-72.07931,-6.7893,-79.8523,1134.23,15.9,0.67,218,56.8,20.49,200.2
T86,2025-01-02,D003,Puno,Cusco,-15.8759,-70.07924,-13.45053,-71.96246,337.29,17.8,0.19,471,76.3,4.71,118.0
T87,2025-01-02,D021,Puno,Cusco,-15.87485,-70.06081,-13.50826,-71.93499,331.48,13.9,0.05,374,64.7,5.48,94.6
T88,2025-01-02,D017,Puno,Trujillo,-15.83804,-69.91435,-8.12274,-79.03795,1311.14,9.5,0.43,475,44.9,36.02,334.7
T89,2025-01-02,D032,Tacna,Puno,-18.08283,-70.26773,-15.83136,-69.98779,252.12,14.6,0.93,396,44.8,5.41,132.8
T90,2025-01-02,D030,Puno,Tacna,-15.94871,-69.98187,-18.09585,-70.1691,239.58,14.7,0.81,208,48.0,4.77,83.1
T91,2025-01-02,D023,Ica,Cusco,-14.04429,-75.78417,-13.56934,-71.93912,418.54,17.7,0.25,418,36.3,11.58,136.7
T92,2025-01-02,D018,Ica,Arequipa,-14.12451,-75.69733,-16.36264,-71.55624,509.19,6.8,0.48,474,48.8,11.54,148.2
T93,2025-01-02,D021,Tacna,Chiclayo,-18.01892,-70.2923,-6.7431,-79.78182,1621.8,14.7,0.67,494,56.2,37.04,466.2
T94,2025-01-02,D024,Chiclayo,Trujillo,-6.68912,-79.78667,-8.05194,-79.01042,174.04,9.1,0.45,493,57.9,3.88,52.2
T95,2025-01-02,D030,Cusco,Lima,-13.56088,-71.89994,-11.98279,-76.97621,577.75,26.9,0.35,287,33.2,22.59,214.8
T96,2025-01-02,D018,Arequipa,Puno,-16.4115,-71.47648,-15.89179,-70.08116,159.84,17.6,0.4,146,54.4,3.37,66.4
T97,2025-01-02,D025,Arequipa,Chiclayo,-16.38775,-71.52919,-6.77892,-79.89842,1403.73,4.2,0.53,473,67.9,25.18,320.8
T98,2025-01-02,D001,Chiclayo,Cusco,-6.86026,-79.85024,-13.49319,-71.93862,1137.01,6.1,0.32,456,62.1,21.52,278.2
T99,2025-01-02,D022,Cusco,Lima,-13.46891,-71.97573,-12.00025,-77.0839,577.57,24.9,0.68,199,25.2,27.84,204.0
T100,2025-01-02,D010,Lima,Tacna,-12.10549,-76.98247,-18.0863,-70.22904,983.53,12.3,0.41,493,59.3,20.34,268.6
T101,2025-01-02,D031,Puno,Lima,-15.83334,-69.94506,-12.12048,-76.94672,860.78,11.7,0.47,100,44.1,19.23,205.7
T102,2025-01-02,D028,Trujillo,Lima,-8.10213,-79.02791,-12.02236,-77.02338,488.02,1.0,0.86,669,39.8,15.86,173.5
T103,2025-01-02,D036,Chiclayo,Trujillo,-6.76986,-79.86696,-8.13523,-78.95907,181.85,9.1,0.75,0,76.5,3.09,68.4
T104,2025-01-03,D028,Ica,Trujillo,-14.11479,-75.78119,-8.05996,-78.93692,756.14,18.8,0.39,317,43.7,17.16,221.6
T105,2025-01-03,D004,Trujillo,Puno,-8.15161,-79.0758,-15.85936,-70.084,1299.72,13.3,0.46,224,48.2,33.05,327.9
T106,2025-01-03,D004,Trujillo,Cusco,-8.1756,-78.99623,-13.48309,-71.95014,969.53,19.5,0.42,625,53.1,21.84,334.3
T107,2025-01-03,D037,Tacna,Cusco,-18.01564,-70.23829,-13.55197,-72.02181,531.74,11.8,0.7,273,46.5,10.88,174.5
T108,2025-01-03,D032,Cusco,Tacna,-13.50364,-71.92272,-17.99767,-70.24797,530.87,16.0,0.63,456,45.7,11.78,171.1
T109,2025-01-03,D006,Trujillo,Chiclayo,-8.13425,-79.01559,-6.69972,-79.82969,183.03,6.2,0.2,171,43.5,4.09,63.7
T110,2025-01-03,D003,Tacna,Ica,-17.95693,-70.17865,-14.03842,-75.68343,732.03,6.7,0.74,325,55.0,14.43,203.2
T111,2025-01-03,D021,Chiclayo,Trujillo,-6.80096,-79.8224,-8.14236,-78.93904,178.14,18.3,0.86,206,50.8,3.33,89.3
T112,2025-01-03,D036,Trujillo,Cusco,-8.00942,-79.00009,-13.51345,-71.93123,985.05,20.9,0.31,33,26.8,37.56,263.5
T113,2025-01-03,D016,Puno,Ica,-15.83516,-70.01654,-14.06314,-75.73499,645.12,13.4,0.89,537,45.8,14.16,201.2
T114,2025-01-03,D018,Trujillo,Lima,-8.13855,-78.9811,-12.02116,-77.12433,477.17,17.0,0.68,87,31.9,18.53,123.9
T115,2025-01-03,D011,Cusco,Puno,-13.44691,-71.95047,-15.79401,-70.0193,333.59,1.0,0.41,545,45.7,6.97,97.9
T116,2025-01-03,D002,Lima,Ica,-12.00724,-77.13851,-14.04433,-75.67886,276.24,9.6,0.61,222,70.8,5.05,111.4
T117,2025-01-03,D002,Tacna,Lima,-17.93577,-70.33137,-12.03057,-77.07644,977.49,8.1,0.4,132,35.5,25.54,295.8
T118,2025-01-03,D012,Lima,Cusco,-12.13461,-77.1255,-13.43235,-72.07236,566.62,1.0,0.37,430,49.6,14.46,161.7
T119,2025-01-03,D037,Ica,Arequipa,-14.08883,-75.7104,-16.37799,-71.52429,516.2,11.4,0.53,374,41.8,16.0,136.3
T120,2025-01-03,D034,Lima,Trujillo,-11.98776,-76.9949,-8.17198,-79.06908,481.22,1.0,0.56,0,45.2,11.84,138.8
T121,2025-01-03,D028,Puno,Trujillo,-15.90152,-70.08407,-8.03264,-78.97673,1303.67,14.5,0.5,165,54.1,25.77,377.1
T122,2025-01-03,D029,Puno,Ica,-15.84388,-69.99136,-14.14656,-75.68982,640.46,1.3,0.49,539,61.6,12.77,148.9
T123,2025-01-03,D025,Ica,Chiclayo,-14.07848,-75.83983,-6.75931,-79.78331,920.91,10.1,0.68,181,51.2,20.42,257.3
T124,2025-01-03,D037,Cusco,Trujillo,-13.51469,-71.99341,-8.09103,-79.07944,980.92,5.8,0.46,386,49.2,22.83,222.9
T125,2025-01-03,D026,Chiclayo,Puno,-6.7967,-79.87621,-15.80014,-70.00294,1469.19,11.0,0.63,485,39.0,48.93,426.2
T126,2025-01-03,D038,Puno,Cusco,-15.87608,-70.00171,-13.5424,-71.99381,336.5,9.9,0.69,129,46.7,6.88,90.2
T127,2025-01-03,D025,Cusco,Chiclayo,-13.578,-71.99234,-6.77121,-79.83541,1144.0,1.2,0.4,557,49.7,25.65,295.0
T128,2025-01-03,D032,Chiclayo,Trujillo,-6.83322,-79.83405,-8.0822,-79.00858,166.04,17.7,0.48,589,44.5,4.28,89.0
T129,2025-01-03,D002,Puno,Lima,-15.8224,-70.04492,-12.00084,-77.03131,865.39,6.2,0.41,285,54.9,17.52,283.2
T130,2025-01-03,D035,Lima,Cusco,-12.17546,-77.05384,-13.47998,-72.02218,564.47,16.3,0.6,347,67.0,9.42,158.7
T131,2025-01-03,D020,Chiclayo,Lima,-6.78897,-79.7766,-12.05912,-77.07785,656.49,1.0,0.54,169,57.7,13.55,162.2
T132,2025-01-03,D035,Lima,Chiclayo,-12.07023,-77.08049,-6.85043,-79.85615,655.36,17.7,0.5,200,48.1,15.61,201.7
T133,2025-01-03,D016,Puno,Chiclayo,-15.85173,-70.09832,-6.69701,-79.88001,1473.51,7.9,0.77,165,38.7,46.28,310.0
T134,2025-01-03,D028,Trujillo,Lima,-8.05007,-78.97762,-11.96834,-77.00901,486.08,13.5,0.91,106,58.0,9.54,160.6
T135,2025-01-03,D002,Trujillo,Arequipa,-8.11576,-79.08303,-16.35911,-71.4532,1235.41,5.6,0.55,0,48.5,29.05,346.1
T136,2025-01-03,D037,Chiclayo,Trujillo,-6.68375,-79.9231,-8.14344,-79.06594,187.82,14.4,0.61,598,66.9,2.98,85.7
T137,2025-01-03,D034,Tacna,Ica,-18.05507,-70.2105,-14.08833,-75.78994,741.46,7.2,0.6,0,35.9,21.05,145.2
T138,2025-01-03,D032,Lima,Arequipa,-12.00649,-77.07458,-16.357,-71.54997,767.15,1.0,0.58,303,55.1,17.06,203.0
T139,2025-01-03,D007,Tacna,Ica,-18.07663,-70.24552,-14.00821,-75.71232,738.75,4.7,0.66,360,40.3,17.73,215.3
T140,2025-01-03,D035,Lima,Arequipa,-12.14028,-76.97802,-16.35671,-71.57456,747.5,12.8,0.63,112,38.2,18.0,206.4
T141,2025-01-03,D037,Puno,Ica,-15.86174,-69.9915,-14.03195,-75.73146,649.31,1.0,0.86,201,47.8,15.42,241.1
T142,2025-01-03,D033,Ica,Tacna,-14.09274,-75.76647,-18.03703,-70.19653,739.17,21.8,0.41,899,44.3,17.99,215.2
T143,2025-01-03,D030,Cusco,Lima,-13.46929,-71.91131,-12.03704,-77.05913,580.54,3.6,0.32,416,50.7,11.31,185.9
T144,2025-01-03,D013,Chiclayo,Tacna,-6.71378,-79.83746,-18.06501,-70.27945,1632.96,15.4,0.41,460,27.7,59.77,375.6
T145,2025-01-03,D036,Cusco,Chiclayo,-13.48024,-71.96793,-6.72807,-79.86082,1144.24,21.5,0.52,246,32.9,40.35,397.9
T146,2025-01-03,D032,Chiclayo,Tacna,-6.81062,-79.90478,-17.99655,-70.26551,1624.44,22.5,0.05,160,53.1,32.5,417.4
T147,2025-01-03,D022,Chiclayo,Arequipa,-6.75689,-79.85973,-16.39117,-71.56023,1401.0,9.4,0.05,5,54.7,28.99,306.9
T148,2025-01-03,D027,Tacna,Chiclayo,-17.98248,-70.26359,-6.78934,-79.92796,1626.85,9.6,0.45,563,60.5,27.14,459.1
T149,2025-01-03,D012,Lima,Cusco,-12.02225,-77.05799,-13.53994,-71.82496,592.0,15.9,0.54,266,59.6,10.88,150.5
T150,2025-01-03,D033,Ica,Trujillo,-14.07686,-75.74062,-8.0842,-79.01049,755.79,19.1,0.31,338,58.1,13.5,252.3
T151,2025-01-03,D012,Ica,Chiclayo,-14.0286,-75.76175,-6.73583,-79.86021,926.41,22.5,0.59,0,37.5,27.05,231.6
T152,2025-01-03,D031,Lima,Chiclayo,-12.04575,-77.07778,-6.75112,-79.86009,663.1,1.0,0.61,119,63.9,9.96,199.4
T153,2025-01-04,D037,Lima,Arequipa,-12.08822,-77.05683,-16.4019,-71.45167,771.23,11.8,0.33,676,53.5,16.87,143.2
T154,2025-01-04,D025,Cusco,Tacna,-13.56562,-71.9423,-18.04711,-70.28622,528.86,14.3,0.17,454,52.3,12.67,139.1
T155,2025-01-04,D006,Chiclayo,Puno,-6.75681,-79.93044,-15.8298,-70.10434,1470.73,9.5,0.31,314,60.1,31.04,324.6
T156,2025-01-04,D026,Puno,Ica,-15.89702,-70.11856,-13.99054,-75.67091,633.02,15.2,0.25,158,49.7,11.9,158.6
T157,2025-01-04,D035,Chiclayo,Tacna,-6.81757,-79.8963,-18.105,-70.26908,1632.09,10.5,0.46,105,51.0,41.54,382.7
T158,2025-01-04,D008,Cusco,Trujillo,-13.46784,-71.95368,-8.14161,-79.02252,972.82,1.6,0.8,200,48.0,20.27,242.2
T159,2025-01-04,D023,Cusco,Chiclayo,-13.53827,-71.90345,-6.78805,-79.92279,1154.45,1.0,0.35,100,65.2,18.81,276.0
T160,2025-01-04,D017,Cusco,Tacna,-13.43453,-71.91647,-17.94406,-70.23646,532.7,1.0,0.32,445,61.6,8.26,148.1
T161,2025-01-04,D030,Chiclayo,Ica,-6.73073,-79.83342,-14.03771,-75.68811,930.27,8.4,0.71,0,46.3,21.24,242.7
T162,2025-01-04,D039,Trujillo,Lima,-8.07059,-79.02782,-11.99357,-76.94552,492.18,22.8,0.57,863,46.4,9.93,159.9
T163,2025-01-04,D023,Puno,Tacna,-15.89071,-69.95928,-18.08741,-70.23357,246.0,8.1,0.56,118,53.8,4.8,73.8
T164,2025-01-04,D010,Arequipa,Ica,-16.487,-71.46857,-14.11698,-75.84653,538.4,4.2,0.78,672,69.1,9.03,158.8
T165,2025-01-04,D031,Tacna,Arequipa,-18.00407,-70.15485,-16.40335,-71.53502,230.59,13.8,0.06,666,44.4,5.19,89.0
T166,2025-01-04,D018,Cusco,Ica,-13.57383,-71.99105,-14.08219,-75.7036,404.81,11.6,0.73,696,45.5,9.73,139.4
T167,2025-01-04,D021,Lima,Ica,-12.0029,-77.09254,-14.06224,-75.81676,267.46,15.2,0.98,0,45.9,7.44,116.9
T168,2025-01-04,D016,Cusco,Lima,-13.48601,-71.94878,-12.02153,-77.05613,577.32,14.7,0.74,160,63.9,11.46,206.4
T169,2025-01-04,D006,Arequipa,Puno,-16.37984,-71.55738,-15.84591,-70.14713,161.93,18.3,0.58,812,42.5,4.39,78.9
T170,2025-01-04,D008,Puno,Arequipa,-15.83221,-70.10864,-16.3569,-71.50263,159.95,20.1,0.8,901,34.6,4.77,97.8
T171,2025-01-04,D001,Lima,Trujillo,-12.05997,-77.08975,-8.16169,-79.01402,481.92,14.0,0.55,281,57.0,7.86,157.0
T172,2025-01-04,D022,Cusco,Puno,-13.5332,-71.82049,-15.9178,-70.0856,324.21,9.3,0.35,333,59.1,5.92,106.3
T173,2025-01-04,D005,Tacna,Chiclayo,-18.02217,-70.19466,-6.68244,-79.87727,1640.67,22.2,0.16,571,56.9,33.27,489.0
T174,2025-01-04,D025,Chiclayo,Cusco,-6.79014,-79.89967,-13.44459,-71.96848,1140.31,18.0,0.55,394,56.2,20.21,285.2
T175,2025-01-04,D017,Chiclayo,Puno,-6.91344,-79.8487,-15.83074,-69.98055,1462.08,22.5,0.13,546,52.8,25.96,401.5
T176,2025-01-04,D025,Arequipa,Cusco,-16.41426,-71.57731,-13.50968,-72.0069,326.25,14.4,0.95,372,53.6,7.28,141.7
T177,2025-01-04,D035,Ica,Tacna,-14.06641,-75.81586,-18.05664,-70.13744,751.54,15.3,0.19,366,63.3,12.73,250.5
T178,2025-01-04,D019,Chiclayo,Ica,-6.77839,-79.94094,-14.06215,-75.77032,929.35,1.0,0.49,539,49.0,23.6,226.5
T179,2025-01-04,D037,Arequipa,Chiclayo,-16.31663,-71.49521,-6.8274,-79.85886,1393.28,1.0,0.5,0,37.9,39.31,405.3
T180,2025-01-04,D040,Trujillo,Lima,-8.06845,-79.02158,-11.98713,-77.00324,488.56,6.4,0.66,243,47.8,10.96,144.6
T181,2025-01-04,D027,Tacna,Arequipa,-17.94615,-70.15452,-16.32981,-71.56431,233.97,16.6,0.7,447,53.5,4.27,106.5
T182,2025-01-04,D014,Chiclayo,Trujillo,-6.79866,-79.90075,-8.09333,-79.09949,168.9,21.3,0.58,199,55.8,3.01,99.5
T183,2025-01-04,D007,Ica,Lima,-14.16068,-75.70216,-12.02107,-77.0106,276.91,1.0,0.16,211,58.4,5.36,68.3
T184,2025-01-04,D020,Ica,Chiclayo,-14.10849,-75.6765,-6.79312,-79.90362,935.42,12.5,0.92,0,44.2,24.55,330.7
T185,2025-01-04,D011,Cusco,Puno,-13.40889,-71.99631,-15.88241,-69.98795,349.75,10.9,0.22,238,41.1,9.94,81.1
T186,2025-01-04,D012,Puno,Lima,-15.85401,-70.01296,-12.05984,-77.0786,871.24,5.8,0.57,50,30.5,33.22,242.3
T187,2025-01-04,D015,Chiclayo,Cusco,-6.85376,-79.87538,-13.448,-71.90829,1138.92,6.3,0.94,120,33.0,37.44,374.3
T188,2025-01-04,D010,Tacna,Chiclayo,-17.94121,-70.22246,-6.84663,-79.87947,1617.97,16.7,0.48,299,58.2,29.75,457.8
